subject,crossover_operator,inheritance_rate,hybrid
Rhino,Two Point,0.838166,false
Rhino,One Point,0.774107,false
Rhino,Linked,0.248146,false
Rhino,Two Point,0.108029,true
Rhino,One Point,0.846715,true
Rhino,Linked,0.108029,true
Rhino,Two Point,0.256983,true
Rhino,One Point,0.525140,false
Rhino,Linked,0.532588,true
Rhino,Two Point,0.437672,true
Rhino,One Point,0.047227,false
Rhino,Linked,0.480505,false
Rhino,Two Point,0.124235,false
Rhino,One Point,0.704406,true
Rhino,Linked,0.053244,false
Rhino,Two Point,0.050493,false
Rhino,One Point,0.050493,false
Rhino,Linked,0.050493,false
Rhino,Two Point,0.935839,false
Rhino,One Point,0.161374,true
Rhino,Linked,0.001944,true
Rhino,Two Point,0.184920,true
Rhino,One Point,0.322510,false
Rhino,Linked,0.326362,true
Rhino,Two Point,0.026345,true
Rhino,One Point,0.025247,true
Rhino,Linked,0.960483,true
Rhino,Two Point,0.821207,true
Rhino,One Point,0.008460,true
Rhino,Linked,0.880993,false
Rhino,Two Point,0.305453,false
Rhino,One Point,0.040203,false
Rhino,Linked,0.305453,false
Rhino,Two Point,0.453341,false
Rhino,One Point,0.039205,false
Rhino,Linked,0.516289,false
Rhino,Two Point,0.369608,true
Rhino,One Point,0.770479,false
Rhino,Linked,0.891571,false
Rhino,Two Point,0.038324,true
Rhino,One Point,0.036096,false
Rhino,Linked,0.310606,false
Rhino,Two Point,0.029674,false
Rhino,One Point,0.029674,false
Rhino,Linked,0.029674,false
Rhino,Two Point,0.299591,true
Rhino,One Point,0.326827,true
Rhino,Linked,0.302769,true
Rhino,Two Point,0.730284,true
Rhino,One Point,0.755521,true
Rhino,Linked,0.667192,true
Rhino,Two Point,0.478122,true
Rhino,One Point,0.573106,true
Rhino,Linked,0.621131,false
Rhino,Two Point,0.836031,true
Rhino,One Point,0.800141,true
Rhino,Linked,0.987333,true
Rhino,Two Point,0.048919,true
Rhino,One Point,0.045506,true
Rhino,Linked,0.045506,false
Rhino,Two Point,0.039133,false
Rhino,One Point,0.223162,true
Rhino,Linked,0.689053,true
Rhino,Two Point,0.941238,true
Rhino,One Point,0.810073,true
Rhino,Linked,0.620672,true
Rhino,Two Point,0.375258,false
Rhino,One Point,0.375258,false
Rhino,Linked,0.171134,true
Rhino,Two Point,0.248490,false
Rhino,One Point,0.022294,true
Rhino,Linked,0.459359,false
Rhino,Two Point,0.916358,true
Rhino,One Point,0.001480,true
Rhino,Linked,0.890452,false
Rhino,Two Point,0.138454,true
Rhino,One Point,0.031311,true
Rhino,Linked,0.602250,true
Rhino,Two Point,0.333142,true
Rhino,One Point,0.040207,false
Rhino,Linked,0.733487,true
Rhino,Two Point,0.013989,true
Rhino,One Point,0.252708,true
Rhino,Linked,0.013989,true
Rhino,Two Point,0.798557,true
Rhino,One Point,0.816870,false
Rhino,Linked,0.027192,true
Rhino,Two Point,0.872748,false
Rhino,One Point,0.729730,true
Rhino,Linked,0.866554,false
Rhino,Two Point,0.812454,true
Rhino,One Point,0.811722,false
Rhino,Linked,0.812454,false
Rhino,Two Point,0.127520,true
Rhino,One Point,0.625504,true
Rhino,Linked,0.774194,true
Rhino,Two Point,0.824548,false
Rhino,One Point,0.146837,true
Rhino,Linked,0.222892,true
Rhino,Two Point,0.208361,true
Rhino,One Point,0.333116,false
Rhino,Linked,0.768779,true
Rhino,Two Point,0.272536,false
Rhino,One Point,0.044808,false
Rhino,Linked,0.044808,false
Rhino,Two Point,0.889952,true
Rhino,One Point,0.890750,true
Rhino,Linked,0.972089,false
Rhino,Two Point,0.277868,false
Rhino,One Point,0.025848,false
Rhino,Linked,0.277868,false
Rhino,Two Point,0.036997,false
Rhino,One Point,0.303485,false
Rhino,Linked,0.958713,true
Rhino,Two Point,0.284478,true
Rhino,One Point,0.551145,true
Rhino,Linked,0.267684,true
Rhino,Two Point,0.038185,false
Rhino,One Point,0.686774,true
Rhino,Linked,0.038185,false
Rhino,Two Point,0.968900,false
Rhino,One Point,0.105263,false
Rhino,Linked,0.307416,false
Rhino,Two Point,0.003475,true
Rhino,One Point,0.003475,true
Rhino,Linked,0.852675,true
Rhino,Two Point,0.146953,true
Rhino,One Point,0.808602,true
Rhino,Linked,0.964875,true
Rhino,Two Point,0.040863,false
Rhino,One Point,0.040863,false
Rhino,Linked,0.426788,false
Rhino,Two Point,0.319383,true
Rhino,One Point,0.037445,false
Rhino,Linked,0.299559,true
Rhino,Two Point,0.264348,true
Rhino,One Point,0.484348,true
Rhino,Linked,0.513043,true
Rhino,Two Point,0.628945,true
Rhino,One Point,0.196409,true
Rhino,Linked,0.196409,true
Rhino,Two Point,0.851186,true
Rhino,One Point,0.103523,true
Rhino,Linked,0.876348,true
Rhino,Two Point,0.016209,false
Rhino,One Point,0.741895,true
Rhino,Linked,0.016209,false
Rhino,Two Point,0.335835,false
Rhino,One Point,0.342402,true
Rhino,Linked,0.357880,true
Rhino,Two Point,0.948148,false
Rhino,One Point,0.988889,true
Rhino,Linked,0.972222,false
Rhino,Two Point,0.042513,true
Rhino,One Point,0.807107,false
Rhino,Linked,0.042513,false
Rhino,Two Point,0.015610,true
Rhino,One Point,0.015610,true
Rhino,Linked,0.882439,true
Rhino,Two Point,0.132569,false
Rhino,One Point,0.148502,true
Rhino,Linked,0.697259,true
Rhino,Two Point,0.747998,true
Rhino,One Point,0.890016,true
Rhino,Linked,0.784303,true
Rhino,Two Point,0.003831,true
